,COMPND,AUTHOR,MASTER,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,vina_intra_gauss1,vina_intra_gauss2,vina_intra_repulsion,vina_intra_hydrophobic,vina_intra_hydrogen,vina_num_rotors,rfscore_v3,name
19,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-7.313246970749308,58.823,63.543,37.034634000000004,37.034634000000004,82.1189780659384,1376.1659498032095,3.2528613135972617,7.248628976968122,7.619840038542822,85.51891444848367,724.9869975569084,2.3251843008169284,0.0,5.006876848848232,11.0,5.273631319624818,cKIT_Nico_dock.pdb
18,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-7.292368652201492,0.0,0.0,92.48756999999999,92.48756999999999,126.65884480956647,1906.1473664969244,4.4606506419870735,7.881052356205513,1.8919151535175187,48.603727309770356,602.5961953367372,2.3675180736163988,0.0,4.446295240982272,11.0,5.764831604284608,cKIT_Nico_dock.pdb
24,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-7.101273839773272,57.111000000000004,62.306999999999995,59.470524,59.470524,79.52338541462711,1487.247999816392,2.308943456534924,5.895628376126888,4.9374570755389255,46.61721378333951,569.0518317728058,1.132225713706046,0.0,1.8989385564453964,11.0,5.8432183175158166,cKIT_Nico_dock.pdb
48,192764,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   94    0   94    0,-7.042442337408887,24.371,28.64,57.76866,57.76769,125.00087498858444,1840.2423089405409,3.6287556074793264,31.2739082222922,5.599418978076097,87.78531980737215,728.9213330784041,1.5249841448424224,6.641094052371526,2.4163809427618195,20.0,6.763280700743697,cKIT_Gast_dock.pdb
21,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-6.988197813966669,78.02600000000001,81.05199999999999,67.877,67.877,99.2106550769998,1533.4156683615465,2.0849357211288924,7.544168993932706,2.6019158634219397,67.40044189541061,655.9225875077339,1.6738260669849985,0.0,4.444567671353007,11.0,5.910142992063491,cKIT_Nico_dock.pdb
23,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-6.9579337304056255,78.60600000000001,81.812,67.83523000000001,67.83523000000001,93.59476987433253,1551.255568903023,1.6953347579521665,6.595869721890113,2.2001323889221243,65.94197841805804,566.4795068175445,1.930304174551125,0.0,4.726210501417442,11.0,5.742603821900324,cKIT_Nico_dock.pdb
171,439201,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  149    0  149    0,-6.846763612618671,0.0,0.0,7.206175999999999,7.1916839999999995,126.4873258659857,2708.357955335635,3.2175216843368513,32.69294257966427,3.9872052879700246,133.14527423416092,1032.6895446643068,4.634822872679335,11.081090449920461,4.904499158802958,31.0,6.967469764291265,cKIT_Brad_dock.pdb
20,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-6.709984482314653,77.984,82.929,66.71054000000001,66.71054000000001,87.80906503111444,1613.9601982477307,2.9470802124151056,0.4228394772131283,3.4659759308290847,66.72852568586376,574.9075305998366,2.05507157147083,0.0,3.1762379622335386,11.0,5.398202308913303,cKIT_Nico_dock.pdb
25,5892,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   71    0   71    0,-6.634594094270932,80.485,83.696,66.06361,66.06361,76.10760805527718,1601.3674825581884,1.9707016914147848,1.9852765108781243,2.584624450464664,71.09761746582272,747.4392590525971,1.0790294587037863,0.0,2.538534563416932,11.0,5.625461489343993,cKIT_Nico_dock.pdb
204,    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-6.627886981813352,68.48,72.946,32.909915999999996,32.909915999999996,133.04558764594674,2102.4399022524653,3.844258701880301,49.63082336470818,3.1270236762164774,125.55882068429152,1179.1699841256996,2.7343644907879443,35.64940760804363,2.774618472841748,24.0,7.469574054112557,cKIT_GHRP6_dock.pdb
208,    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0   55    0   55    0,-6.611183936397174,80.764,83.375,5.288119999999999,5.288119999999999,66.51942326916965,1128.0970386890426,0.5656568810119789,23.676205977934664,0.0,57.642777252709024,417.4553956906751,3.38590187283443,10.594563504541325,1.9994846027392528,5.0,6.287614436635258,cKIT_Uroc_dock.pdb
206,    ***** ,    GENERATED BY OPEN BABEL 2.4.1,        0    0    0    0    0    0    0    0  120    0  120    0,-6.586530101254018,68.44800000000001,72.9,32.304302,32.304302,126.04824320929305,2136.038731021477,4.012395206561688,59.4616269392747,2.7394376848999764,180.88426117719456,1385.7804129351714,4.098600522131607,33.84994032474829,3.425837448422663,24.0,7.358221985070483,cKIT_GHRP6_dock.pdb
